id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
143534,70264,Arcomage,"Trial of Towers

During a time long past, a traveler settled among the people of Shrikar. The traveler’s knowledge, skills
and power led them to believe that he was the chosen Emissary of the god Ceth. As time passed, the
traveler taught the people of Shrikar how to Weave, or shape the natural energy flows of their planet. The
Emissary also taught the basic skills of architecture and of controlling creatures of the land, improving the
way life for the people of Shrikar. An age of prosperity and enlightenment began and the people lived
better than ever before.

As the people of Shrikar continued to advance in their skill and knowledge of Weaving, the Emissary left to
continue his journey once more. To honor him and his teachings, the people created the Arcomage Guild; a
school dedicated to the knowledge that the Emissary brought to Shrikar. Graduation from this Guild
bestowed the title of Arcomage upon the worthy student, one who understood and excelled in the ways of
Weaving, of Control and of Building. The Golden Age of Shrikar had reached its pinnacle.

One hundred years after the departure of the Emissary, the first Arcomage War struck the people of
Shrikar. The Arcomage Crowhain assaulted the citadel of the Arcomage Ralbeard. The surrounding
countryside was laid to waste. Years after the war started, Ralbeard completely destroyed the citadel of his
enemy. The scars upon the world of Shrikar were slow to heal. Over the next five hundred years the people
of Shrikar would experience the wars of Arcomages hundreds of times, as mages strove to increase their
power and reputations.

You have been challenged, Arcomage! The enemy is at the gates and it is now time to put your skills and
tactics to the test. Gather your resources, summon your armies and join the battle!",1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
61493,93135,Argentum Online,"Argentum Online is an online multiplayer role playing game which takes place in a medieval fantasy world. The world is known as Argentum, it's populated by all sorts of creatures: evil and good. Players can create their own characters, choosing among five races (Elf, Human, Gnome, Dark Elf, Dwarf) and up to 20 different professions (fighter, assassin, blacksmith, carpenter, pirate, etc).",1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
22101,43807,Arkanoid R 2000,NULL,1999-08-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
173611,6713,Armada,NULL,1999-10-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
110837,43818,Armed Fighter,NULL,1999-04-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
179341,19424,Armored Core: Master of Arena,NULL,1999-02-04 00:00:00.000,2,NULL,63.0000,1,NULL,NULL
143986,14962,Armored Fist 3,NULL,1999-10-12 00:00:00.000,1,NULL,NULL,NULL,50.0000,2
80448,37525,Armored Unit,NULL,1999-12-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
48361,186027,Armorines: Project S.W.A.R.M.,NULL,1999-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
170039,3439,Armorines: Project S.W.A.R.M.,NULL,1999-11-30 00:00:00.000,1,NULL,NULL,NULL,33.3596,5
173112,22833,Army Men 3D,NULL,1999-03-28 00:00:00.000,1,NULL,NULL,NULL,65.6662,9
107049,22830,Army Men II,NULL,1999-02-28 00:00:00.000,2,NULL,69.0000,1,63.5738,7
9661,3417,Army Men: Air Attack,NULL,1999-10-13 00:00:00.000,5,NULL,NULL,NULL,71.2789,11
124847,3440,Army Men: Sarge's Heroes,NULL,1999-09-28 00:00:00.000,3,NULL,NULL,NULL,72.6638,27
75747,27454,Army Men: Toys in Space,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,50.0000,4
104636,186061,Arthur's Thinking Games,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
180239,603,Asheron's Call,"The story for players began in Portal Year 10. Through the game's monthly updates the story unfolds. Not only do players experience the current events of the world, but as the months go on and they explore, they learn much about the past. Several monthly updates build upon each other, forming a story arc. Each story arc usually lasts around one year.",1999-11-02 00:00:00.000,3,NULL,85.0000,1,NULL,NULL
123332,44750,Assault Suits Valken 2,NULL,1999-07-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
169019,62150,Asterix & Obelix take on Caesar,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
161684,150203,Asteroids,"You are an employee of the Astro-Mining Corporation. Your mission is to simply go to an assigned area of space and clear the area of asteroids and the occassional debris. The game consists of five zones, each with a different background and some with special features. Each zone has 15 levels. In addition to the standard asteroids, there are also mined asteroids that explode; indestructible asteroids that are, well, indestructible; fireball comets; crystal asteroids that regenerate; alien egg asteroids containing deadly baby space worms; and ancient energy asteroids that shoot back! And there's plenty of enemies in addition to the asteroids, such as Standard and Super Saucers, Asteroids Tugs, Fuel Transports, Hexes, Nuke Drivers, and Vulturoids.",1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
107813,10664,Asteroids Hyper 64,NULL,1999-12-15 00:00:00.000,NULL,NULL,NULL,NULL,77.0931,5
68736,77780,Asuka 120% Final Burning Fest.,NULL,1999-05-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
127909,38514,Asura Blade: Sword of Dynasty,NULL,1999-01-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
172377,80627,Atari Arcade Hits: Volume 1,NULL,1999-01-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
109568,43832,Athena: Awakening from the Ordinary Life,NULL,1999-04-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
57883,11094,Atlantis 2: Beyond Atlantis,"In this adventure game, take Ten, the Bearer of Light, through his journey to Shambhala to confront the Bearer of Dark so that balance can be returned to the Universe. To find Shambhala, he must gather the pieces that make up the ""road to Shambhala"" from different locations and time periods – China, Ireland and the Yucatán.

You begin aboard a ship in the mountains of Tibet, which acts as a home base. As the pieces are found and put in place, Ten is mystically transported to exotic locations and will become different characters. Each ""chapter"" can be played in any order since each is self-contained with its own puzzles, objects and people. Although each chapter is autonomous the final reward of each one is another piece of ""the road to Shamballa"".

Yucatán The character in the Yucatán chapter is Tepec, a loyal follower of a local city's king. Tepec's kingdom is in trouble because its protector-god, Quetzalcoatl (the Feathered Serpent), has fallen asleep and as a result great misfortunes happen to the kingdom; the corn crop is dying and a rival king makes a campaign to conquer Tepec's kingdom. So Tepec is assigned with the mission to go to the land of the dead, Xibalba, and awaken Quetzalcoatl to receive chulel, the divine blood which has life giving powers.

Ireland Ten is transformed into Felim, a monk living in an Irish monastery in the early centuries of Christianity. He discovers a living remain of an ancient Irish king and then begins interacting with a set of characters from an old myth which is written in a book in the monastery library. His final goal is to help the characters get to the end of the story.

China In this chapter Ten is in the body of a travelling Chinese civil servant who is stuck in a monastery because a ghost-shadow is blocking the entrance. As water supplies are running short, he decides to use the help of the Master of Directions to travel to a Chinese version of the land of the dead to consult an immortal excorcism master.

Shamballa Shamballa is a fantasy place, which acts as a final screen of protection between the home base and the Dark's prison. Queen Rhea, a character from the prequel of the series is waiting there to link the story between the two games and guide Ten to the final level of the game, which is no other than the sunk Atlantis.",1999-12-31 00:00:00.000,3,NULL,70.0000,2,40.0000,2
126813,4143,Attack of the Saucerman,NULL,1999-07-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
114350,44810,Attack of the Saucerman!,NULL,1999-08-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
71783,210276,Autobahn Raser II,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
93822,49915,Babe and Friends,NULL,1999-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
110838,78530,Backgammon,NULL,1999-08-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
138839,50298,Backyard Football 1999,NULL,1999-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
103332,84780,Bakuretsu Muteki Bangai-O,NULL,1999-12-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
36657,180241,Baldr Fist,"...Once, the human society that evolved its civilization to the extreme of it's peak. However, at some point, it followed the path of slow decline, and by the time the 30th century was counted, it was about 1000 years ago. It had retreated to the same extent. Except for the fact that working robots called ""GIGAS"" supports all aspects of people's lives, they are living at the same level as they are today.
Story takes place two years before ""Baldrhead ~Busou Kin'yuu Gaiden~""",1999-12-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
58079,180223,Baldrhead: Busou Kin'yuu Gaiden,"It's the future where the technology is being over-used and at the same time conflicts between countries and religion occur which causes a loss in theory and technology. The world is now in corrupted towns with ruins of ancient technology everywhere. The story takes place in future Japan,and the hero of the game is an ex-mercenary called Bloody Baldy who earns his living by being an armament banker...",1999-07-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
125341,187304,Ballistic,NULL,1999-10-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
